week;plate;tube;row;column;a;b;c;d;e;f;g;h;fibrosity;problem
1;1;3;B;2;-1;1;1;-1;1;1;-1;-1;366;FALSE
1;1;3;D;2;-1;1;1;-1;1;1;-1;-1;369;FALSE
1;1;3;F;2;-1;1;1;-1;1;1;-1;-1;374;FALSE
1;1;3;H;2;-1;1;1;-1;1;1;-1;-1;376;FALSE
1;1;3;J;2;-1;1;1;-1;1;1;-1;-1;374;FALSE
1;1;3;L;2;-1;1;1;-1;1;1;-1;-1;378;FALSE
1;1;3;N;2;-1;1;1;-1;1;1;-1;-1;364;FALSE
1;1;3;P;2;-1;1;1;-1;1;1;-1;-1;361;FALSE
1;1;6;B;5;1;-1;1;1;-1;1;-1;-1;333;FALSE
1;1;6;D;5;1;-1;1;1;-1;1;-1;-1;337;FALSE
1;1;6;F;5;1;-1;1;1;-1;1;-1;-1;326;FALSE
1;1;6;H;5;1;-1;1;1;-1;1;-1;-1;324;FALSE
1;1;6;J;5;1;-1;1;1;-1;1;-1;-1;340;FALSE
1;1;6;L;5;1;-1;1;1;-1;1;-1;-1;340;FALSE
1;1;6;N;5;1;-1;1;1;-1;1;-1;-1;348;FALSE
1;1;6;P;5;1;-1;1;1;-1;1;-1;-1;336;FALSE
1;1;5;B;8;1;-1;1;-1;-1;-1;-1;-1;367;FALSE
1;1;5;D;8;1;-1;1;-1;-1;-1;-1;-1;370;FALSE
1;1;5;F;8;1;-1;1;-1;-1;-1;-1;-1;374;FALSE
1;1;5;H;8;1;-1;1;-1;-1;-1;-1;-1;360;FALSE
1;1;5;J;8;1;-1;1;-1;-1;-1;-1;-1;366;FALSE
1;1;5;L;8;1;-1;1;-1;-1;-1;-1;-1;365;FALSE
1;1;5;N;8;1;-1;1;-1;-1;-1;-1;-1;360;FALSE
1;1;5;P;8;1;-1;1;-1;-1;-1;-1;-1;356;FALSE
1;1;4;B;11;-1;1;1;1;1;-1;-1;-1;326;FALSE
1;1;4;D;11;-1;1;1;1;1;-1;-1;-1;325;FALSE
1;1;4;F;11;-1;1;1;1;1;-1;-1;-1;342;FALSE
1;1;4;H;11;-1;1;1;1;1;-1;-1;-1;337;FALSE
1;1;4;J;11;-1;1;1;1;1;-1;-1;-1;330;FALSE
1;1;4;L;11;-1;1;1;1;1;-1;-1;-1;338;FALSE
1;1;4;N;11;-1;1;1;1;1;-1;-1;-1;335;FALSE
1;1;4;P;11;-1;1;1;1;1;-1;-1;-1;330;FALSE
